LFARG,LFFUNC,LFVAL
момент,LOC,в
причина,ADV2-UN,по
война,BON,справедливый
известный,MAGN,хорошо
начало,LOC,в
страна,LOC,в
время,LOC,в
страна,LOC,в
начало,LOC,в
впечатление,CAUSFUNC0,производить
война,OPER1,вести
война,BON,справедливый
россия,LOC,в
поддерживать,MAGN,горячо
москва,LOC,в
год,LOC,в
разговор,FINFUNC0,заканчиваться
страсть,FUNC0,бурлить
век,LOC,в
роль,OPER1,играть
атмосфера,LOC,в
начало,LOC,в
год,LOC,в
время,LOC,в
лондон,LOC,в
падать,MAGN,катастрофически
россия,LOC,в
год,LOC,в
древность,LOC,в
интерес,OPER2,представлять
интерес,MAGN,огромный
авторитет,OPER1,пользоваться
энтузиазм,INCEPFUNC1,охватывать
плен,INCEPLABOR1-2,брать
афины,LOC,в
цель,MAGN,конечный
сочувствие,MANIF,выражать
мысль,MANIF,высказывать
расход,OPER1,нести
начало,LOC,в
россия,LOC,в
мнение,ADV2-UN,по
конкуренция,MAGN,острый
группа,SING,член
роль,OPER1,сыграть
состояние,ADV1-UN,в
задача,S0_REAL1-M,решение
пример,OPER2,служить
санкт-петербург,LOC,в
год,LOC,в
москва,LOC,в
война,FUNC0,идти
донбасс,LOC,в
вспышка,FUNC0,происходить
роль,MAGN,важный
важный,MAGN,чрезвычайно
речь,FUNC0,идти
механизм,S0_CAUSFACT0,включение
время,INCEPFUNC0,наставать
задача,MAGN,сложный
задача,S0_REAL1-M,решение
предел,LOC,в
россия,LOC,в
впечатление,CAUSFUNC0,производить
падать,MAGN,резко
эмоция,MAGN,сильный
период,LOC,в
власть,INCEPOPER2,попадать
истерия,INCEPOPER1,впадать
эпоха,LOC,в
свобода,OPER1,пользоваться
страна,LOC,в
ситуация,INCEPFUNC0,складываться
сша,LOC,в
свидетельство,OPER1,приводить
проблема,INCEPFUNC0,возникать
совет,CAP,председатель
цензура,LABOR1-2,подвергать
юар,LOC,в
вопрос,OPER1,задавать
власть,INCEPOPER1,приобретать
период,LOC,в
вопрос,OPER1,ставить
противоположный,MAGN,прямо
время,LOC,в
россия,LOC,в
мнение,ADV2-UN,по
успех,OPER1,иметь
время,LOC,в
запад,LOC,на
россия,LOC,в
распоряжение,OPER2,находиться
публика,MAGN,широкий
время,LOC,в
позиция,OPER1,занимать
эйфория,INCEPOPER1,впадать
украина,LOC,на
статья,LOC,в
время,LOC,в
исследование,OPER1,вести
кафедра,LOC,на
руководство,ADV2-UN,под
повод,OPER1,служить
эксперимент,BON,успешный
область,LOC,в
факультет,LOC,на
поддержка,OPER2,получать
конец,LOC,в
основа,ADV2-UN,на
направление,ADV1-UN,по
сотрудничество,ADV1-UN,в
криптография,OPER1,заниматься
внимание,OPER1,обращать
внимание,MAGN,пристальный
внимание,CAUSFUNC0,обращать
основа,ADV2-UN,на
направление,ADV1-UN,в
декабрь,LOC,в
работа,OPER1,делать
задача,REAL1-M,выполнять
декабрь,LOC,в
время,LOC,в
институт,LOC,в
вопрос,INCEPFUNC0,возникать
задача,S0_REAL1-M,решение
распространение,INCEPOPER1,получать
основа,ADV2-UN,на
расстояние,MAGN,значительный
область,LOC,в
расстояние,ADV1-UN,на
состояние,ADV1-UN,в
место,LOC,в
область,LOC,в
мера,MAGN,полный
рынок,LOC-AD,на
причина,ADV2-UN,по
россия,LOC,в
кафедра,INCEPOPER1,получать
успех,INCEPOPER1,достигать
успех,MAGN,большой
канада,LOC,в
метод,REAL1,использовать
момент,LOC,в
статья,LOC,в
образование,CAUSFUNC2,давать
образование,CAUSFUNC0,давать
температура,ANTIMAGN,низкий
шанс,CAUSFUNC1,давать
шанс,CAUSFUNC0,давать
санкция,INCEPOPER1,вводить
список,LOC,в
санкция,FINOPER1,отменять
россия,LOC,в
брюссель,LOC,в
деньги,MAGN,большой
беларусь,LOC,в
деньги,MAGN,большой
деньги,MAGN,большой
запад,LOC,на
контракт,CAUSFUNC0,заключать
совет,LOC,в
контракт,S0_CAUSFUNC0,подписание
подтверждение,OPER3,находить
речь,FUNC0,идти
год,LOC,в
день,LOC,в
запад,LOC,на
речь,FUNC0,идти
список,LOC,в
список,CAUSOPER1,включать
минск,LOC,в
минск,LOC,в
отказ,OPER3,получать
право,REAL1-M,пользоваться
брюссель,LOC,в
список,OPER1,входить
приговор,S0_OPER1,вынесение
время,LOC,в
бизнес,MAGN,большой
брюссель,LOC,в
список,LIQUOPER1,исключать
евросоюз,LOC,в
причина,MAGN,главный
украина,LOC,на
фон,LOC,на
тюрьма,REAL1,сидеть
санкция,S0_INCEPOPER1,введение
санкция,FINOPER1,отменять
санкция,INCEPOPER1,вводить
санкция,FINOPER1,отменять
санкция,S0_FINOPER1,снятие
период,LOC,в
присмотр,ADV2-UN,под
санкция,S0_FINOPER1,снятие
средства,FINOPER1,терять
поезд,MAGN,курьерский
скорость,ADV1-UN,с
санкция,FINOPER1,отменять
беларусь,LOC,в
свет,LOC,на
фабрика,LOC,на
фабрика,CAP,директор
нсдап,SING,член
список,LOC,в
количество,MAGN,большой
год,LOC,в
будапешт,LOC,в
европа,LOC,в
америка,LOC,в
сделка,BON,выгодный
страна,LOC,в
женева,LOC,в
год,LOC,в
швейцария,LOC,в
берлин,LOC,в
виза,CAUSFUNC1,выдавать
дом,LOC,в
кантон,LOC,в
война,INCEPFUNC0,начинаться
маршрут,FUNC0,пролегать
документ,ANTIBON,поддельный
год,LOC,в
польша,LOC,в
бутылка,LOC-AD,в
сад,LOC,в
год,LOC,в
виза,CAUSFUNC1,выдавать
бордо,LOC,в
изгнание,ADV2-UN,в
борьба,INCEPOPER1,начинать
год,LOC,в
вена,LOC,в
просьба,ADV2-UN,по
страх,CAUSFUNC1,внушать
просьба,REAL3-M,выполнять
оправдание,MAGN,полный
год,LOC,в
одиночество,ADV1-UN,в
голландия,LOC,в
дом,LOC,в
нсдап,SING,член
вильнюс,LOC,в
прикрытие,ADV2-UN,под
бригада,CAUSFUNC0,создавать
нсдап,SING,член
представитель,MAGN,типичный
партия,INCEPOPER1,вступать
год,LOC,в
власть,INCEPOPER1,приходить
отделение,LOC,в
год,LOC,в
вред,OPER1,наносить
преступление,OPER1,совершать
вред,MAGN,непоправимый
решение,OPER1,принимать
сентябрь,LOC,в
берлин,LOC,в
швеция,LOC,в
дания,LOC,в
досмотр,LABOR1-2,подвергать
территория,LOC,на
монастырь,LOC,в
освенцим,LOC,в
паспорт,CAUSFUNC1,выдавать
венгрия,LOC,в
дом,LOC,в
будапешт,LOC,в
тюрьма,LOC,в
лубянка,LOC,на
год,LOC,в
речь,FUNC0,идти
деревня,LOC,в
дом,LOC,в
вино,BON,дорогой
год,LOC,в
виза,CAUSFUNC1,выдавать
просьба,ADV2-UN,по
кампания,INCEPOPER1,организовывать
виза,CAUSFUNC1,выдавать
конфронтация,INCEPOPER1,вступать
марсель,LOC,в
конец,INCEPOPER1,подходить
документ,ANTIBON,поддельный
африка,LOC,в
парламент,CAP,председатель
родос,LOC,на
плен,INCEPOPER2,попадать
польза,OPER1,приносить
угроза,INCEPLABOR1-2,ставить
вред,OPER1,причинять
результат,OPER1,давать
результат,BON,положительный
инъекция,OPER1,делать
год,LOC,в
пьянка,OPER1,устраивать
город,LOC,в
монастырь,LOC,в
решение,OPER1,принимать
деревня,LOC,в
совет,CAUSFUNC0,созывать
будапешт,LOC,в
паспорт,INCEPOPER1,получать
война,INCEPOPER1,начало
алжир,LOC,в
период,LOC,в
париж,LOC,в
европа,LOC,в
документ,CAUSFUNC1,выдавать
просьба,LABOR1-2,обращаться
париж,LOC,в
территория,LOC,на
подвал,LOC,в
сша,LOC,в
альпы,LOC,в
время,LOC,в
соглашение,CAUSFACT0-M,подписывать
ноябрь,LOC,в
закон,CAUSFUNC0,принимать
прага,LOC,в
мир,LOC,в
год,LOC,в
курс,OPER1,быть
харбин,LOC,в
остров,LOC,на
путь,FUNC0,лежать
момент,LOC,в
каунас,LOC,в
виза,OPER1,выдавать
документ,CAUSFUNC0,составлять
год,LOC,в
результат,ADV2-UN,в
курс,OPER1,брать
проблема,CAUSFACT0-M,решать
свобода,OPER1,пользоваться
совесть,ANTIVER,нечистый
доверие,OPER1,оказывать
свидетельство,MAGN,яркий
работа,FINOPER1,завершать
результат,OPER1,давать
выборы,FUNC0,состояться
год,LOC,в
кпсс,SING,член
сопротивление,MAGN,яростный
цель,REAL1-M,добиваться
республика,LOC,в
россия,LOC,в
октябрь,LOC,в
конец,LOC,в
день,LOC,в
опасность,FUNC0,быть
страна,LOC,в
решение,OPER1,принимать
забвение,LABOR1-2,предавать
день,LOC,в
пост,LOC,на
опыт,INCEPOPER1,приобретать
принцип,MAGN,твердый
путь,LOC,на
конец,CAUSFUNC0,класть
ситуация,INCEPFUNC0,складываться
начало,LOC,в
день,LOC,в
кремль,LOC,в
договоренность,ADV2-UN,по
пост,S0_FINOPER1,уход
банк,LOC,в
москва,LOC,в
архив,LOC,в
квартира,REAL1,жить
квартира,REAL1,жить
день,LOC,в
вопрос,REAL3-M,отвечать
поражение,OPER1,потерпеть
поражение,OPER1,потерпеть
поражение,OPER1,терпеть
внимание,FINOPER2,отвлекать
мнение,OPER1,придерживаться
россия,LOC,в
совет,OPER1,давать
брифинг,CAUSFUNC0,устраивать
бремя,FUNC1,лежать
процесс,INCEPFUNC0,пойти
цена,MAGN,большой
роль,MAGN,большой
день,LOC,в
содействие,MAGN,всемерный
мир,LOC,в
россия,LOC,в
междусобойчик,OPER1,устраивать
декабрь,LOC,в
страница,LOC,на
петербург,LOC,в
год,LOC,в
интернет,LOC,в
пропаганда,OPER1,вести
помещение,LOC,в
отношение,OPER1,иметь
отношение,VER,прямой
мундирчик,INCEPREAL1,надевать
гостиная,LOC,в
карьера,REAL1-M,делать
год,LOC,в
квартира,REAL1,жить
будущее,LOC,в
конец,LOC,в
отказываться,MAGN,категорически
результат,ADV2-UN,в
гостиная,LOC,в
спальня,LOC,в
декабрь,LOC,в
улица,LOC,на
декабрь,LOC,в
время,LOC,в
волос,MAGN,густой
улица,LOC,на
пальто,INCEPREAL1,надевать
хозяйство,OPER1,вести
семья,LOC,в
детство,LOC,в
пальто,INCEPREAL1,надевать
пальто,ANTIMAGN,легкий
декабрь,FUNC0,стоять
улица,LOC,на
комиссия,CAUSFUNC0,учреждать
предположение,OPER1,высказывать
здание,LOC,в
площадка,LOC,на
костер,CAUSFUNC0,раскладывать
шуба,REAL1,быть
дым,FUNC0,клубиться
стол,REAL1,сидеть
форма,ADV1-UN,в
комиссия,CAUSFUNC0,учреждать
место,LOC,на
зарплата,OPER3,платить
дверь,FINFACT0,распахиваться
момент,LOC,в
работа,INCEPOPER1,начало
диван,BON,роскошный
приемная,LOC,в
комната,LOC,в
дверь,LIQUFACT0,открытый
время,FUNC0,идти
время,FINFUNC0,проходить
вопрос,OPER1,ставить
приемная,LOC,в
внимание,OPER1,обращать
внимание,CAUSFUNC0,обращать
приемная,LOC,в
время,LOC,в
ночь,INCEPFUNC0,наступать
приемная,LOC,в
кабинет,LOC,в
банк,LOC,в
банк,LOC,в
приемная,LOC,в
дверь,LIQUFACT0,открывать
банк,LOC,в
семья,LOC,в
война,INCEPFUNC0,начинаться
основа,ADV2-UN,на
впечатление,CAUSFUNC1,производить
ужин,ADV1-UN,за
пост,LOC,на
пост,OPER1,занимать
ленинград,LOC,в
мнение,ADV2-UN,по
год,LOC,в
звание,CAUSFUNC1,присваивать
начало,LOC,в
кавказ,LOC,на
интернет,LOC,в
год,LOC,в
возраст,ADV1-UN,в
урал,LOC,на
конференция,FUNC0,проходить
россия,LOC,в
падение,MAGN,резкий
доход,MAGN,приличный
поддержка,MAGN,мощный
количество,MAGN,большой
разговор,FINFUNC0,прекращаться
совет,SING,член
решение,OPER1,принимать
суждение,OPER1,выносить
направление,ADV1-UN,по
стипендия,S0_OPER1,предоставление
средства,CAUSFUNC1,выделять
диагноз,CAUSFUNC0,ставить
роль,OPER1,сыграть
роль,MAGN,важный
конференция,LOC,на
список,LOC,в
расти,MAGN,неуклонно
мир,LOC,в
время,LOC,в
причина,ADV2-UN,по
направление,ADV1-UN,по
известный,MAGN,хорошо
европа,LOC,в
сша,LOC,в
авторитет,MAGN,высокий
институт,LOC,в
москва,LOC,в
начало,LOC,в
внимание,MAGN,особый
россия,LOC,в
внимание,OPER1,уделять
речь,FUNC0,идти
россия,LOC,в
возможность,OPER1,иметь
страна,LOC,в
журнал,CAUSFUNC0,издавать
россия,LOC,в
мир,LOC,в
работа,INCEPOPER1,начинать
выборы,FUNC0,состояться
причина,VER,настоящий
наука,OPER1,заниматься
удовлетворение,OPER2,приносить
результат,ADV2-UN,в
скорость,ADV1-UN,с
проект,OPER1,вести
консультация,OPER1,давать
спор,CAUSFACT0-M,разрешать
дело,OPER1,делать
потребность,S0_REAL1-M,удовлетворение
возможность,INCEPOPER1,получать
родина,LOC,на
опыт,BON,полезный
вопрос,CAUSFACT0-M,решать
язык,REAL1,говорить
результат,ADV2-UN,в
вопрос,CAUSFACT0-M,решать
функция,OPER1,выполнять
отделение,LOC,в
уровень,LOC,на
проблема,MAGN,сложный
проблема,INCEPFUNC0,вставать
вопрос,S0_CAUSFACT0-M,решение
курс,OPER1,брать
партия,MAGN,сильный
сила,INCEPOPER1,вступать
сентябрь,LOC,в
решение,LIQUFUNC0,отменять
право,OPER1,иметь
переговоры,INCEPOPER1,начинать
партия,MAGN,сильный
ценность,OPER1,иметь
акция,MAGN,массовый
лес,LOC,в
пожар,LIQUFUNC0,тушить
ценность,OPER1,иметь
запись,OPER1,вести
участие,OPER1,принимать
выборы,VER,честный
выступление,FUNC0,состояться
выборы,VER,честный
выборы,VER,честный
выборы,VER,честный
выраженный,MAGN,ярко
характер,INCEPOPER1,приобретать
шаг,OPER1,делать
декабрь,LOC,в
курс,OPER1,брать
курс,OPER1,брать
акция,INCEPOPER1,выходить
кухня,LOC,на
конфликт,INCEPOPER1,входить
влияние,OPER2,находиться
резонанс,OPER1,иметь
резонанс,MAGN,большой
закон,CAUSFUNC0,принимать
речь,FUNC0,идти
выборы,FUNC0,проходить
партия,CAUSFUNC0,создавать
законодательство,CAUSFUNC0,принимать
мера,MAGN,полный
приказ,OPER1,отдавать
мероприятие,OPER1,проводить
выборы,FUNC0,проходить
эфир,ADV1-UN,в
борт,LOC,на
закон,CAUSFUNC0,принимать
законопроект,CAUSFACT0-M,принимать
насилие,OPER1,совершать
законопроект,CAUSFUNC0,предлагать
законопроект,CAUSFACT0-M,принимать
норма,CAUSFUNC0,устанавливать
деятельность,OPER1,заниматься
право,LIQUREAL1-M,лишать
сговор,ADV2-UN,по
место,LOC,в
преступление,MAGN,тяжкий
насилие,OPER1,совершать
брак,INCEPOPER1,вступать
условие,ADV1-UN,при
инициатива,OPER1,выступать
май,LOC,в
отсутствие,ADV2-UN,при
ответственность,LIQUOPER1,освобождать
президент,LOC,при
сфера,LOC,в
закон,S0_CAUSFUNC0,принятие
уровень,OPER1,находиться
день,LOC,в
понедельник,LOC,в
газета,CAUSFUNC0,выпускать
доля,MAGN,львиный
дифирамб,MANIF,петь
штат,LOC,в
бруклин,LOC,в
налог,REAL2-M,платить
зарплата,MAGN,большой
поднимать,MAGN,резко
договор,S0_CAUSFUNC0,заключение
налог,S0_CAUSFUNC0,введение
газета,CAUSFUNC0,выпускать
вооружение,INCEPLABOR1-2,брать
красноярск,LOC,в
время,LOC,в
газета,FUNC0,выходить
перепись,OPER1,проводить
победа,OPER1,одерживать
деревня,LOC,в
отношение,OPER1,иметь
красноярск,LOC,в
газета,CAUSFUNC0,печатать
ответственность,CAUSOPER1,привлекать
митинг,FUNC0,состояться
средства,REAL1,тратить
отношение,OPER1,иметь
отделение,LOC,в
отношение,OPER1,иметь
телеэфир,OPER2,выходить
известный,MAGN,хорошо
фон,LOC,на
хакасия,LOC,в
республика,LOC,в
газета,CAUSFUNC0,выпускать
республика,LOC,в
перевод,ADV2-UN,в
газета,CAUSFUNC0,выпускать
законодательство,REAL3-M,соблюдать
показание,S0_OPER1,дача
мера,OPER1,принимать
заседание,CAUSFUNC0,проводить
решение,OPER1,принимать
сфера,LOC,в
законодательство,S0_ANTIREAL3-M,нарушение
решение,LIQUFUNC0,отменять
дело,S0_CAUSFUNC0,возбуждение
газета,FUNC0,выходить
ящик,LOC,в
претензия,OPER1,высказывать
недра,LOC,в
значение,MAGN,первостепенный
количество,MAGN,большой
статья,LOC,в
сожаление,MAGN,глубокий
распоряжение,OPER2,иметься
политика,S0_OPER1,проведение
противоречие,INCEPOPER1,входить
вывод,OPER1,приходить
защита,INCEPOPER1,вставать
попытка,OPER1,предпринимать
власть,INCEPFUNC1,переходить
конец,CAUSFUNC0,класть
период,LOC,в
время,LOC,в
конец,LOC,в
империя,S0_FINFUNC0,распад
выборы,VER,честный
выборы,S0_OPER1,проведение
тур,S0_OPER1,проведение
план,CAUSFUNC0,разрабатывать
разработка,OPER1,вести
россия,LOC,в
план,MAGN,детальный
план,CAUSFUNC0,разрабатывать
решение,OPER1,принимать
план,CAUSFUNC0,разрабатывать
проработка,OPER1,вести
поручение,ADV2-UN,по
доля,FUNC2,составлять
цель,MAGN,главный
основа,ADV2-UN,на
основа,CAUSFUNC0,создавать
долина,LOC,в
конец,LOC,в
экскурсия,CAUSFUNC0,водить
долина,LOC,в
свет,LOC,на
жить,MAGN,долго
вопрос,FUNC1,занимать
семья,LOC,в
очередь,FACT0-M,подходить
старость,INCEPFUNC0,приходить
охота,OPER1,пойти
отношение,INCEPOPER1,устанавливаться
отношение,BON,теплый
дом,LOC,в
дом,LOC,в
дом,LOC,в
деревня,LOC,в
восток,LOC-AD,на
богатство,INCEPOPER1,наживать
время,INCEPFUNC0,приходить
иркутск,LOC,в
дело,CAUSFUNC0,заводить
налог,REAL1-M,платить
роль,MAGN,большой
взрыв,FUNC0,происходить
байкальск,LOC,в
год,LOC,в
ремонт,OPER1,делать
данные,ADV2-UN,по
год,LOC,в
сезон,LOC,в
бизнес,ANTIMAGN,малый
налог,REAL1-M,платить
кампания,OPER1,проводить
год,LOC,в
поверить,MAGN,всерьез
ссуда,OPER1,выдавать
бизнес,ANTIMAGN,малый
город,LOC,в
бизнес,ANTIMAGN,малый
усилие,OPER1,предпринимать
выбор,OPER1,делать
администрация,CAP,глава
результат,ADV2-UN,в
отвечать,ANTIVER,уклончиво
год,LOC,в
срок,FINFUNC0,истекать
план,MAGN,обширный
проблема,CAUSFACT0-M,решать
вода,BON,чистый
вопрос,OPER1,задавать
день,LOC,в
огласка,LABOR1-2,предавать
январь,LOC,в
доступ,FINOPER1,лишаться
процедура,OPER2,проходить
требование,REAL3-M,удовлетворять
байкальск,LOC,в
прятки,OPER1,играть
игра,OPER1,вести
требование,ANTIBON,наглый
катастрофа,MAGN,крупный
результат,ADV2-UN,в
ленинград,LOC,в
причина,ADV2-UN,по
облегчение,ADV1-UN,с
билет,INCEPOPER1,покупать
образование,FUNC2,быть
печка,PREPAR,топить
кпсс,INCEPOPER1,вступать
завод,CAP,директор
передача,OPER1,вести
взрыв,FUNC0,происходить
год,LOC,в
воркута,LOC,в
день,LOC,в
эфир,ADV1-UN,в
город,LOC,в
памятник,CAUSFUNC0,ставить
передача,FACT0,идти
право,OPER1,иметь
предложение,OPER1,делать
прощение,CAUSFUNC0,просить
отпор,OPER2,получать
фильм,CAUSFUNC0,снимать
фильм,CAUSFUNC0,снимать
фильм,INCEPFACT0-M,выходить
год,FUNC0,идти
приказ,ADV2-UN,по
фильм,CAUSFUNC0,снимать
метель,FUNC0,мести
год,FINFUNC0,проходить
госдума,LOC,в
год,LOC,в
контроль,INCEPOPER1,устанавливать
мера,OPER1,принимать
беслан,LOC,в
закон,CAUSFUNC0,принимать
область,LOC,в
закон,CAUSFUNC0,принимать
задача,CAUSFUNC1,ставить
работа,S0_FINOPER1,завершение
вопрос,OPER1,задавать
проблема,CAUSFACT0-M,решать
регион,LOC,в
конференция,FUNC0,проходить
книга,CAUSFUNC0,издавать
среда,LOC,в
период,LOC,в
диссертация,REAL1-M,защищать
москва,LOC,в
год,LOC,в
имя,CAUSOPER1,называть
условие,CAUSFUNC0,создавать
конвенция,CAUSFACT0-M,подписывать
опыт,OPER1,иметь
власть,INCEPOPER1,приходить
пример,MAGN,яркий
россия,LOC,в
революция,FUNC0,происходить
год,LOC,в
результат,ADV2-UN,в
волна,FUNC0,прокатываться
характер,OPER1,носить
мнение,ADV2-UN,по
распространение,MAGN,широкий
ярославль,LOC,в
год,LOC,в
россия,LOC,в
опрос,OPER1,проводить
вывод,OPER1,приходить
статья,LOC,в
деяние,S0_OPER1,совершение
ответственность,CAUSOPER1,привлекать
диссертация,REAL1-M,защищать
год,LOC,в
институт,LOC,в
россия,LOC,в
год,LOC,в
пособие,CAUSFUNC0,издавать
гриф,ADV2-UN,под
определение,OPER1,давать
область,LOC,в
основание,ADV2-UN,на
соответствие,ADV1-UN,в
постановление,OPER1,принимать
книга,CAUSFUNC0,издавать
гриф,ADV2-UN,под
роль,OPER1,играть
регион,LOC,в
отношение,OPER1,иметь
отдел,CAP,начальник
исследование,OPER1,проводить
средство,MAGN,эффективный
результат,ADV2-UN,в
отсутствие,ADV2-UN,при
разбор,MAGN,подробный
прикрытие,ADV2-UN,под
разбор,OPER1,делать
ряд,MAGN,целый
значение,OPER1,иметь
уступка,OPER1,пойти
реформа,OPER1,осуществлять
сомневаться,MAGN,сильно
обещание,REAL1-M,выполнять
советовать,MAGN,очень
бояться,MAGN,очень
запад,LOC,на
грузия,LOC,в
сигнал,OPER3,получать
команда,OPER1,давать
результат,ADV2-UN,по
проблема,INCEPFUNC0,возникать
скорость,MAGN,большой
байконур,LOC,на
расстояние,ADV1-UN,на
попытка,OPER1,предпринимать
ситуация,INCEPFUNC0,складываться
попытка,OPER1,предпринимать
команда,OPER1,отдавать
команда,REAL3-M,исполнять
день,LOC,в
основание,ADV2-UN,на
речь,FUNC0,идти
впечатление,FUNC0,складываться
данные,ADV2-UN,по
связь,CAUSFUNC0,устанавливать
сигнал,OPER3,получать
скорость,ADV1-UN,на
состояние,OPER1,находиться
информация,CAUSFUNC0,давать
успех,OPER1,иметь
объем,MAGN,полный
попытка,OPER1,предпринимать
работа,OPER1,делать
перт,LOC,в
день,LOC,в
надежда,ADV1-UN,в
результат,ADV2-UN,в
проблема,INCEPFUNC0,возникать
попытка,ADV1-UN,при
тупик,CAUSOPER1,ставить
связь,S0_FINOPER1,потеря
комиссия,CAUSFUNC0,создавать
комиссия,CAUSFUNC0,создавать
совет,CAP,председатель
решение,OPER1,принимать
орбита,S0_FINOPER1,сход
орбита,S0_FINOPER1,сход
цель,MAGN,главный
задача,REAL1-M,справляться
орбита,INCEPOPER1,выходить
съемка,OPER1,проводить
посадка,OPER1,совершать
посадка,BON,мягкий
мир,LOC,в
связь,FINOPER1,терять
орбита,INCEPOPER1,выходить
задача,CAUSFACT0-M,выполнять
итог,ADV2-UN,в
перерыв,INCEPFUNC0,наступать
программа,REAL1-M,выполнять
связь,FINOPER1,терять
наблюдение,OPER1,проводить
нехватка,MAGN,острый
база,ADV2-UN,на
база,LOC,на
испытание,BON,всесторонний
испытание,OPER2,проходить
средства,CAUSFUNC1,выделять
миссия,MAGN,сложный
вклад,MAGN,весомый
вид,ADV1-UN,в
работа,FINOPER1,завершать
масса,OPER1,иметь
вариант,ADV1-UN,в
орбита,INCEPOPER1,выходить
доля,MAGN,львиный
год,LOC,в
год,LOC,в
год,LOC,в
изменение,OPER2,претерпевать
изменение,MAGN,кардинальный
база,ADV2-UN,на
масса,FUNC2,составлять
проект,S0_REAL1-M,реализация
испытание,OPER1,проводить
год,LOC,в
область,LOC,в
соглашение,CAUSFACT0-M,подписывать
апрель,LOC,в
изменение,CAUSFUNC1,вносить
решение,OPER1,принимать
химки,LOC,в
испытание,FUNC0,проходить
база,ADV2-UN,на
орбита,S0_INCEPOPER1,выход
задача,CAUSFACT0-M,решать
опыт,OPER1,иметь
миссия,MAGN,сложный
причина,MAGN,основной
стоимость,FUNC2,составлять
стоимость,FUNC2,составлять
опыт,INCEPOPER1,нарабатывать
база,ADV2-UN,на
база,LOC,на
вопрос,OPER1,задавать
проект,REAL1-M,реализовать
проект,S0_REAL1-M,осуществление
попытка,OPER1,предпринимать
проект,REAL1-M,осуществлять
влияние,OPER1,оказывать
влияние,MAGN,значительный
торговля,OPER1,заниматься
семья,LOC,в
путешествие,OPER1,предпринимать
причина,ADV2-UN,по
маршрут,REAL1-M,проходить
год,LOC,в
возможность,OPER1,иметь
бухара,LOC,в
поручение,OPER1,давать
описание,VER,точный
юг,LOC-AD,на
данные,ADV2-UN,по
плен,INCEPOPER2,попадать
данные,ADV2-UN,по
мнение,ADV2-UN,по
венеция,LOC,в
гипотеза,CAUSFACT0-M,подтверждать
год,LOC,в
язык,ADV1-UN,на
вопрос,LABOR1-2,ставить
год,LOC,в
книга,CAUSFUNC0,выпускать
путешествие,ADV1-UN,в
год,LOC,в
европа,LOC,в
путешествие,ADV1-UN,в
популярность,INCEPOPER1,приобретать
запись,OPER1,вести
язык,ADV1-UN,на
роман,CAUSFUNC0,писать
интерес,OPER2,представлять
интерес,OPER2,представлять
отношение,OPER1,иметь
аргумент,OPER1,выдвигать
возможность,OPER1,иметь
отдаление,ADV1-UN,в
образование,INCEPOPER2,получать
описывать,MAGN,подробно
интерес,OPER2,представлять
известный,MAGN,широко
персия,LOC,в
вид,ADV1-UN,в
время,LOC,в
интерес,OPER2,представлять
интерес,MAGN,существенный
описание,ANTIVER,неточный
описание,MAGN,полный
имя,OPER1,носить
место,LOC,в
время,LOC,в
место,OPER1,находиться
мнение,ADV2-UN,по
китай,LOC,в
почет,MANIF,оказывать
отношение,OPER1,находиться
китай,LOC,в
имя,CAUSOPER1,называть
описывать,MAGN,подробно
комиссия,EQUIP,состав
доказательство,VER,убедительный
китай,LOC,в
отношение,OPER1,находиться
описывать,MAGN,подробно
данные,INCEPOPER1,получать
данные,VER,точный
действие,ANTIVER,незаконный
право,CAUSFUNC1,предоставлять
основание,ADV2-UN,на
действие,OPER1,совершать
подчинение,MAGN,полный
решение,OPER1,принимать
сила,INCEPOPER1,вступать
регион,LOC,в
должность,LIQUOPER1,снимать
мера,OPER1,применять
суд,LABOR1-2,отдавать
решение,S0_OPER1,вынесение
взятка,REAL1-M,давать
взятка,S0_REAL1-M,дача
ответственность,CAUSOPER1,привлекать
страна,LOC,в
закон,S0_CAUSFUNC0,принятие
ставка,OPER1,делать
пример,OPER1,приводить
задача,FUNC2,состоять
налог,REAL1-M,платить
возможность,CAUSFUNC1,давать
кредит,OPER3,брать
действие,ANTIVER,незаконный
дело,CAUSFUNC0,возбуждать
ущерб,OPER1,наносить
ущерб,LIQUFUNC0,возмещать
возможность,OPER1,иметь
польза,OPER1,приносить
решение,OPER1,принимать
действие,ANTIVER,незаконный
нарушать,MAGN,грубо
форма,ADV1-UN,в
подчинение,OPER2,быть
революция,FUNC0,происходить
причина,ADV2-UN,по
расти,MAGN,быстро
дело,OPER3,рассматривать
размер,OPER1,достигать
жить,BON,спокойно
тупик,INCEPOPER1,заходить
закон,ANTIREAL3-M,нарушать
исключение,OPER1,являться
полномочие,OPER1,обладать
право,LIQUREAL1-M,лишать
познание,OPER1,обладать
требование,REAL2-M,отвечать
просьба,LABOR1-2,обращаться
должность,CAUSOPER1,назначать
право,CAUSFUNC1,давать
ревизия,OPER1,проводить
взятка,S0_REAL1-M,дача
закон,S0_FACT0,действие
взятка,REAL3-M,брать
тюрьма,INCEPREAL1,садиться
преследование,LABOR1-2,подвергать
нарушение,OPER1,допускать
должность,OPER1,занимать
должность,LIQUOPER1,освобождать
страна,LOC,в
решение,S0_OPER1,принятие
возможность,INCEPFUNC1,появляться
рынок,LOC,на
возможность,OPER1,иметь
